URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://dvmd.de/fhir/ValueSet/kdl,2025,active,"1.2.276.0.76.11.469",ValueSetKDL,ValueSet Klinische Dokumentenklassen-Liste (Version 2025),"ValueSets sind Listen von Codes, die in einem bestimmten Kontext verwendet werden. Durch sog. &quot;Terminology-Binding&quot; können Attribute von FHIR-Ressourcen an ValueSets gebunden werden, um die Menge der zulässigen Werte für dieses Attribut einzuschränken.  Dieses ValueSet enthält sämtliche Codes aus dem CodeSystem &quot;KDL&quot; und ist für Bindings an Attribute geeignet, an denen alle Werte aus dem CodeSystem &quot;KDL&quot; erlaubt werden sollen.  Beispiel: DocumentReference.type","StructureDefinition/ISiKDokumentenMetadaten","dvmd.kdl.r4"
http://example.org/fhir/ValueSet/TestValueSet,0.1.0,active,,TestValueSet,,"",,
http://fhir.de/ValueSet/DiagnoseTyp,1.5.4,active,,DiagnoseTyp,DiagnoseTyp ValueSet,"DiagnoseTyp ValueSet","StructureDefinition/ISiKKontaktGesundheitseinrichtung","de.basisprofil.r4"
http://fhir.de/ValueSet/Diagnosesubtyp,1.5.4,active,,Diagnosesubtyp,Diagnosesubtyp ValueSet,"Diagnosesubtyp ValueSet","StructureDefinition/ISiKKontaktGesundheitseinrichtung","de.basisprofil.r4,THO"
http://fhir.de/ValueSet/EncounterClassDE,1.5.4,active,,EncounterClassDE,EncounterClassDE,"Fallarten und Patientenstatus zur Codierung von Encounter.class","StructureDefinition/ISiKKontaktGesundheitseinrichtung","THO (V3)"
http://fhir.de/ValueSet/EncounterStatusDe,1.5.4,active,,EncounterStatusDe,Encounter Status ValueSet,"Einschränkung von Encounter Status in Vorbereitung auf Änderungen in FHIR R5","StructureDefinition/ISiKKontaktGesundheitseinrichtung","hl7.fhir.r4.core"
http://fhir.de/ValueSet/bfarm/ops,1.5.4,active,,OpsVS,OPS ValueSet,"OPS ValueSet","StructureDefinition/ISiKProzedur","de.basisprofil.r4"
http://fhir.de/ValueSet/common-meta-tag-de,1.5.4,active,,VS_CommonMetaTag_De,,"Gebräuchliche Codes zur Kodierung von Resource.meta.tag","StructureDefinition/ISiKTermin","de.basisprofil.r4"
http://fhir.de/ValueSet/dgkev/Aufnahmeanlass,1.5.4,active,,AufnahmeanlassVS,Aufnahmeanlass ValueSet,"Aufnahmeanlass, Datenübermittlung nach § 301 Abs. 3 SGB V","StructureDefinition/ISiKKontaktGesundheitseinrichtung","de.basisprofil.r4"
http://fhir.de/ValueSet/dkgev/Fachabteilungsschluessel,1.5.4,active,,FachabteilungsschluesselVS,Fachabteilungsschlüssel ValueSet,"Fachabteilungen gemäß Anhang 1 der BPflV in der am 31.12.2003 geltenden Fassung","StructureDefinition/ISiKKontaktGesundheitseinrichtung","de.basisprofil.r4"
http://fhir.de/ValueSet/dkgev/Fachabteilungsschluessel-erweitert,1.5.4,active,,ValueSetFachabteilungsschluesselErweitert,FachabteilungsschluesselErweitert ValueSet,"Fachabteilungen gemäß Anhang 1 der BPflV in der am 31.12.2003 geltenden Fassung inkl. Spezialisierungen","StructureDefinition/ISiKTermin,StructureDefinition/ISiKMedizinischeBehandlungseinheit,StructureDefinition/ISiKKalender,StructureDefinition/ISiKKontaktGesundheitseinrichtung,StructureDefinition/ISiKOrganisation,StructureDefinition/ISiKOrganisationFachabteilung","de.basisprofil.r4"
